Provinsi;Komoditas;Tahun;Luas Panen;Produksi;KMeans;KMeans Label;Prediksi Produksi
ACEH;Kacang Hijau;1993;0;0;0;Rendah;54,12937665
ACEH;Kacang Hijau;1994;0;0;0;Rendah;54,12937665
ACEH;Kacang Hijau;1995;0;0;0;Rendah;54,12937665
ACEH;Kacang Hijau;1996;0;0;0;Rendah;54,12937665
ACEH;Kacang Hijau;1997;4376;5288;0;Rendah;4627,501067
ACEH;Kacang Hijau;1998;5877;7091;0;Rendah;6196,201001
ACEH;Kacang Hijau;1999;3498;4271;0;Rendah;3709,90044
ACEH;Kacang Hijau;2000;3269;3986;0;Rendah;3470,571803
ACEH;Kacang Hijau;2001;1468;1785;0;Rendah;1588,340904
ACEH;Kacang Hijau;2002;3583;4242;0;Rendah;3798,734214
ACEH;Kacang Hijau;2003;3125;3728;0;Rendah;3320,076939
ACEH;Kacang Hijau;2004;5008;6132;0;Rendah;5288,006302
ACEH;Kacang Hijau;2005;4261;4855;0;Rendah;4507,314197
ACEH;Kacang Hijau;2006;2927;3373;0;Rendah;3113,146502
ACEH;Kacang Hijau;2007;3076;3395;0;Rendah;3268,866881
ACEH;Kacang Hijau;2008;1703;1777;0;Rendah;1833,94016
ACEH;Kacang Hijau;2009;1278;1341;0;Rendah;1389,771292
ACEH;Kacang Hijau;2010;1097;1164;0;Rendah;1200,607609
ACEH;Kacang Hijau;2011;1453;1507;0;Rendah;1572,664355
ACEH;Kacang Hijau;2012;1371;1453;0;Rendah;1486,965891
ACEH;Kacang Hijau;2013;903;955;0;Rendah;997,8575843
ACEH;Kacang Hijau;2014;1151;1233;0;Rendah;1257,043183
ACEH;Kacang Hijau;2015;1522;1600;0;Rendah;1644,776477
BALI;Kacang Hijau;1993;0;0;0;Rendah;54,12937665
BALI;Kacang Hijau;1994;0;0;0;Rendah;54,12937665
BALI;Kacang Hijau;1995;0;0;0;Rendah;54,12937665
BALI;Kacang Hijau;1996;0;0;0;Rendah;54,12937665
BALI;Kacang Hijau;1997;2543;2073;0;Rendah;2711,826865
BALI;Kacang Hijau;1998;2765;2902;0;Rendah;2943,83978
BALI;Kacang Hijau;1999;2731;2395;0;Rendah;2908,30627
BALI;Kacang Hijau;2000;2193;1932;0;Rendah;2346,040738
BALI;Kacang Hijau;2001;1730;1438;0;Rendah;1862,157947
BALI;Kacang Hijau;2002;1223;1224;0;Rendah;1332,290615
BALI;Kacang Hijau;2003;1073;1026;0;Rendah;1175,525132
BALI;Kacang Hijau;2004;1352;1299;0;Rendah;1467,10893
BALI;Kacang Hijau;2005;1123;1093;0;Rendah;1227,780293
BALI;Kacang Hijau;2006;1377;1260;0;Rendah;1493,236511
BALI;Kacang Hijau;2007;940;873;0;Rendah;1036,526403
BALI;Kacang Hijau;2008;930;895;0;Rendah;1026,075371
BALI;Kacang Hijau;2009;1181;1134;0;Rendah;1288,396279
BALI;Kacang Hijau;2010;764;754;0;Rendah;852,5882367
BALI;Kacang Hijau;2011;983;884;0;Rendah;1081,465842
BALI;Kacang Hijau;2012;1556;1528;0;Rendah;1680,309987
BALI;Kacang Hijau;2013;1129;1186;0;Rendah;1234,050912
BALI;Kacang Hijau;2014;801;941;0;Rendah;891,2570559
BALI;Kacang Hijau;2015;560;516;0;Rendah;639,3871799
BANTEN;Kacang Hijau;1993;0;0;0;Rendah;54,12937665
BANTEN;Kacang Hijau;1994;0;0;0;Rendah;54,12937665
BANTEN;Kacang Hijau;1995;0;0;0;Rendah;54,12937665
BANTEN;Kacang Hijau;1996;0;0;0;Rendah;54,12937665
BANTEN;Kacang Hijau;1997;0;0;0;Rendah;54,12937665
BANTEN;Kacang Hijau;1998;0;0;0;Rendah;54,12937665
BANTEN;Kacang Hijau;1999;0;0;0;Rendah;54,12937665
BANTEN;Kacang Hijau;2000;0;0;0;Rendah;54,12937665
BANTEN;Kacang Hijau;2001;2572;2292;0;Rendah;2742,134858
BANTEN;Kacang Hijau;2002;3001;2669;0;Rendah;3190,48414
BANTEN;Kacang Hijau;2003;2813;2767;0;Rendah;2994,004735
BANTEN;Kacang Hijau;2004;2840;81496;1;Sedang;3022,222521
BANTEN;Kacang Hijau;2005;2293;2086;0;Rendah;2450,55106
BANTEN;Kacang Hijau;2006;2145;1949;0;Rendah;2295,875784
BANTEN;Kacang Hijau;2007;2663;2343;0;Rendah;2837,239252
BANTEN;Kacang Hijau;2008;2179;1908;0;Rendah;2331,409293
BANTEN;Kacang Hijau;2009;2280;1911;0;Rendah;2436,964718
BANTEN;Kacang Hijau;2010;1652;1359;0;Rendah;1780,639896
BANTEN;Kacang Hijau;2011;1168;927;0;Rendah;1274,809938
BANTEN;Kacang Hijau;2012;1037;851;0;Rendah;1137,901416
BANTEN;Kacang Hijau;2013;822;672;0;Rendah;913,2042235
BANTEN;Kacang Hijau;2014;1094;907;0;Rendah;1197,472299
BANTEN;Kacang Hijau;2015;680;542;0;Rendah;764,7995663
BENGKULU;Kacang Hijau;1993;0;0;0;Rendah;54,12937665
BENGKULU;Kacang Hijau;1994;0;0;0;Rendah;54,12937665
BENGKULU;Kacang Hijau;1995;0;0;0;Rendah;54,12937665
BENGKULU;Kacang Hijau;1996;0;0;0;Rendah;54,12937665
BENGKULU;Kacang Hijau;1997;2390;2250;0;Rendah;2551,926072
BENGKULU;Kacang Hijau;1998;2222;2096;0;Rendah;2376,348731
BENGKULU;Kacang Hijau;1999;1341;1238;0;Rendah;1455,612795
BENGKULU;Kacang Hijau;2000;1543;1444;0;Rendah;1666,723645
BENGKULU;Kacang Hijau;2001;1798;1691;0;Rendah;1933,224966
BENGKULU;Kacang Hijau;2002;1526;1416;0;Rendah;1648,95689
BENGKULU;Kacang Hijau;2003;1849;1722;0;Rendah;1986,52523
BENGKULU;Kacang Hijau;2004;1789;1696;0;Rendah;1923,819037
BENGKULU;Kacang Hijau;2005;1796;1711;0;Rendah;1931,13476
BENGKULU;Kacang Hijau;2006;1556;1482;0;Rendah;1680,309987
BENGKULU;Kacang Hijau;2007;1845;1757;0;Rendah;1982,344818
BENGKULU;Kacang Hijau;2008;1284;1226;0;Rendah;1396,041911
BENGKULU;Kacang Hijau;2009;1224;1153;0;Rendah;1333,335718
BENGKULU;Kacang Hijau;2010;1438;1392;0;Rendah;1556,987807
BENGKULU;Kacang Hijau;2011;1427;1405;0;Rendah;1545,491672
BENGKULU;Kacang Hijau;2012;1509;1476;0;Rendah;1631,190136
BENGKULU;Kacang Hijau;2013;1384;1371;0;Rendah;1500,552233
BENGKULU;Kacang Hijau;2014;1175;1154;0;Rendah;1282,12566
BENGKULU;Kacang Hijau;2015;691;662;0;Rendah;776,2957017
DI YOGYAKARTA;Kacang Hijau;1993;0;0;0;Rendah;54,12937665
DI YOGYAKARTA;Kacang Hijau;1994;0;0;0;Rendah;54,12937665
DI YOGYAKARTA;Kacang Hijau;1995;0;0;0;Rendah;54,12937665
DI YOGYAKARTA;Kacang Hijau;1996;0;0;0;Rendah;54,12937665
DI YOGYAKARTA;Kacang Hijau;1997;579;243;0;Rendah;659,244141
DI YOGYAKARTA;Kacang Hijau;1998;953;415;0;Rendah;1050,112745
DI YOGYAKARTA;Kacang Hijau;1999;814;354;0;Rendah;904,8433977
DI YOGYAKARTA;Kacang Hijau;2000;870;341;0;Rendah;963,3691781
DI YOGYAKARTA;Kacang Hijau;2001;727;293;0;Rendah;813,9194176
DI YOGYAKARTA;Kacang Hijau;2002;752;462;0;Rendah;840,0469981
DI YOGYAKARTA;Kacang Hijau;2003;876;563;0;Rendah;969,6397974
DI YOGYAKARTA;Kacang Hijau;2004;942;617;0;Rendah;1038,61661
DI YOGYAKARTA;Kacang Hijau;2005;967;651;0;Rendah;1064,74419
DI YOGYAKARTA;Kacang Hijau;2006;967;563;0;Rendah;1064,74419
